订单号,城市,品类,单价,数量,销售额
ORD0000,北京,数码,393.92,8.0,3151.36
ORD0001,深圳,美妆,84.59,5.0,422.95
ORD0002,深圳,食品,277.31,9.0,2495.79
ORD0003,广州,美妆,266.83,7.0,1867.81
ORD0004,广州,服饰,431.63,6.0,2589.78
ORD0005,,食品,242.14,9.0,2179.26
ORD0006,北京,数码,204.84,5.0,1024.2
ORD0007,深圳,服饰,326.99,7.0,2288.93
ORD0008,上海,数码,147.9,3.0,443.7
ORD0009,北京,食品,87.09,9.0,783.81
ORD0010,广州,家居,249.38,6.0,1496.28
ORD0011,杭州,家居,220.11,8.0,1760.88
ORD0012,深圳,食品,131.63,5.0,658.15
ORD0013,深圳,数码,196.41,8.0,1571.28
ORD0014,深圳,数码,195.87,1.0,195.87
ORD0015,深圳,家居,177.2,2.0,354.4
ORD0016,广州,家居,202.14,5.0,1010.7
ORD0017,北京,家居,349.16,7.0,2444.12
ORD0018,杭州,美妆,162.5,8.0,1300.0
ORD0019,广州,家居,475.45,4.0,1901.8
ORD0020,广州,数码,459.85,6.0,2759.1
ORD0021,上海,食品,250.84,5.0,1254.2
ORD0022,北京,家居,177.61,9.0,1598.49
ORD0023,杭州,美妆,277.01,6.0,1662.06
ORD0024,深圳,美妆,427.31,4.0,1709.24
ORD0025,深圳,数码,333.24,9.0,2999.16
ORD0026,广州,数码,406.11,1.0,406.11
ORD0027,杭州,食品,275.71,9.0,2481.39
ORD0028,广州,食品,323.8,2.0,647.6
ORD0029,广州,服饰,158.31,3.0,474.93
ORD0030,广州,服饰,,8.0,2982.0
ORD0031,上海,数码,117.15,7.0,820.05
ORD0032,北京,数码,353.5,9.0,3181.5
ORD0033,广州,美妆,433.15,7.0,3032.05
ORD0034,杭州,服饰,83.41,6.0,500.46
ORD0035,北京,美妆,314.9,4.0,1259.6
ORD0036,杭州,美妆,65.65,1.0,65.65
ORD0037,杭州,数码,368.34,2.0,736.68
ORD0038,上海,数码,60.56,3.0,181.68
ORD0039,深圳,美妆,469.25,1.0,469.25
ORD0040,北京,家居,85.96,5.0,429.8
ORD0041,深圳,数码,480.26,7.0,3361.82
ORD0042,深圳,家居,404.42,9.0,3639.78
ORD0043,上海,服饰,304.97,5.0,1524.85
ORD0044,北京,美妆,395.66,8.0,3165.28
ORD0045,杭州,数码,401.66,9.0,3614.94
ORD0046,广州,美妆,474.09,8.0,3792.72
ORD0047,杭州,美妆,141.62,5.0,708.1
ORD0048,深圳,食品,303.24,3.0,909.72
ORD0049,深圳,食品,65.62,9.0,590.58
ORD0050,深圳,服饰,315.76,3.0,947.28
ORD0051,北京,食品,102.22,4.0,408.88
ORD0052,上海,数码,291.18,1.0,291.18
ORD0053,广州,服饰,294.77,8.0,2358.16
ORD0054,广州,美妆,243.67,6.0,1462.02
ORD0055,北京,美妆,270.86,1.0,270.86
ORD0056,广州,食品,386.68,2.0,773.36
ORD0057,北京,美妆,403.64,5.0,2018.2
ORD0058,深圳,食品,256.23,5.0,1281.15
ORD0059,深圳,家居,307.8,8.0,2462.4
ORD0060,杭州,美妆,466.99,3.0,1400.97
ORD0061,深圳,美妆,77.47,9.0,697.23
ORD0062,上海,数码,76.21,5.0,381.05
ORD0063,杭州,美妆,62.1,8.0,496.8
ORD0064,广州,食品,335.77,3.0,1007.31
ORD0065,上海,服饰,220.93,1.0,220.93
ORD0066,杭州,服饰,391.67,1.0,391.67
ORD0067,上海,数码,342.19,4.0,1368.76
ORD0068,北京,食品,180.15,9.0,1621.35
ORD0069,广州,家居,451.22,1.0,451.22
ORD0070,深圳,数码,386.02,4.0,1544.08
ORD0071,北京,家居,149.86,1.0,149.86
ORD0072,广州,服饰,194.81,9.0,1753.29
ORD0073,北京,数码,170.93,7.0,1196.51
ORD0074,深圳,美妆,95.65,7.0,669.55
ORD0075,广州,食品,90.94,7.0,636.58
ORD0076,上海,家居,469.34,6.0,2816.04
ORD0077,上海,家居,230.19,7.0,1611.33
ORD0078,广州,数码,203.99,1.0,203.99
ORD0079,深圳,数码,370.25,8.0,2962.0
